,STN_NAME,STN_NO,lat,long
0,EUNOS MRT STATION,EW7,1.319778951553637,103.90325246673828
1,CHINESE GARDEN MRT STATION,EW25,1.3423528208747444,103.73259673807337
2,KHATIB MRT STATION,NS14,1.4173833701535468,103.83297990773832
3,KRANJI MRT STATION,NS7,1.425177698770448,103.76216541090021
4,REDHILL MRT STATION,EW18,1.2895627264024532,103.81681667014902
5,YEW TEE MRT STATION,NS5,1.3975350177934123,103.74740511413793
6,PIONEER MRT STATION,EW28,1.3375868822047492,103.69732151293607
7,COMMONWEALTH MRT STATION,EW20,1.3024387353271702,103.79830451562897
8,PAYA LEBAR MRT STATION,EW8,1.3181120822952783,103.8930603552516
9,SIMEI MRT STATION,EW3,1.343202894930727,103.95337169417571
10,TAMPINES MRT STATION,EW2,1.3533013563424345,103.94514868864901
11,ADMIRALTY MRT STATION,NS10,1.4405850010854104,103.80098800081232
12,YISHUN MRT STATION,NS13,1.4294430808108005,103.8350050461946
13,PASIR RIS MRT STATION,EW1,1.3729837735794899,103.94926811824541
14,CLEMENTI MRT STATION,EW23,1.314954492423594,103.76529887432638
15,ALJUNIED MRT STATION,EW9,1.3164326116578378,103.88290604466043
16,ANG MO KIO MRT STATION,NS16,1.3693473037885635,103.84993299388984
17,EXPO MRT STATION,CG1,1.3345497778378117,103.96154821070795
18,CHOA CHU KANG MRT STATION,NS4,1.3853616928288097,103.74434094618154
19,JURONG EAST MRT STATION,EW24 / NS1,1.3331526198940653,103.7422865440047
20,QUEENSTOWN MRT STATION,EW19,1.2948609327949876,103.805884333892
21,TUAS LINK MRT STATION,EW33,1.3404637656482068,103.63687867834884
22,GUL CIRCLE MRT STATION,EW30,1.319505214938206,103.66055295590799
23,WOODLANDS MRT STATION,NS9,1.4368751282107555,103.78648513490744
24,TUAS CRESCENT MRT STATION,EW31,1.3210265532422654,103.64907547830892
25,KALLANG MRT STATION,EW10,1.3114889096421625,103.87138654135926
26,TUAS WEST ROAD MRT STATION,EW32,1.3299890890491355,103.63961405603037
27,BUONA VISTA MRT STATION,EW21,1.3071834665473328,103.79019153517372
28,DOVER MRT STATION,EW22,1.3114052929253077,103.77863784163793
29,SEMBAWANG MRT STATION,NS11,1.4490508212272943,103.82004614054829
30,KEMBANGAN MRT STATION,EW6,1.3210382488510848,103.9129493883634
31,BUKIT BATOK MRT STATION,NS2,1.349034108576673,103.74956676385231
33,BOON LAY MRT STATION,EW27,1.3386040545032734,103.70606462259597
34,BUKIT GOMBAK MRT STATION,NS3,1.3587618572614453,103.75189350208203
35,MARSILING MRT STATION,NS8,1.4325144206356422,103.77407146126207
36,BEDOK MRT STATION,EW5,1.3239799688877463,103.92998449462056
37,JOO KOON MRT STATION,EW29,1.3277171730916797,103.67837514285053
38,LAKESIDE MRT STATION,EW26,1.3442592493946972,103.72094926847875
39,TANAH MERAH MRT STATION,EW4,1.3271871345383557,103.94634646062272
40,YIO CHU KANG MRT STATION,NS15,1.3817560461130036,103.84494728975423
41,OASIS LRT STATION,PE6,1.402286677493708,103.91272735563076
42,SAM KEE LRT STATION,PW1,1.409612685086607,103.90483155051864
43,FARMWAY LRT STATION,SW2,1.397170196458043,103.88930481043573
44,KUPANG LRT STATION,SW3,1.3982128283971758,103.88125622197416
45,RENJONG LRT STATION,SW8,1.3867239215280005,103.8905394271551
46,BUKIT PANJANG LRT STATION,BP6,1.377909897982203,103.76301363378538
47,FAJAR LRT STATION,BP10,1.3845207961752235,103.77080858250861
48,PUNGGOL LRT STATION,PTC,1.4051947013024326,103.90241191198473
49,SAMUDERA LRT STATION,PW4,1.4159017194387673,103.90215631639083
50,NIBONG LRT STATION,PW5,1.4118704584532273,103.90031381767317
51,SOO TECK LRT STATION,PW7,1.4050885848539645,103.89720965031741
52,KADALOOR LRT STATION,PE5,1.3995848527611094,103.91648666197331
53,CORAL EDGE LRT STATION,PE3,1.393909226117486,103.9125808548093
54,THANGGAM LRT STATION,SW4,1.3973181549952225,103.87563515645569
55,KEAT HONG LRT STATION,BP3,1.378602765983026,103.74905551939932
56,DAMAI LRT STATION,PE7,1.4052348361719909,103.90860354364429
57,COVE LRT STATION,PE1,1.3992819850199323,103.90596194407641
58,RIVIERA LRT STATION,PE4,1.3945244957690126,103.91616605898767
59,SENJA LRT STATION,BP13,1.3826922958241612,103.76236722595047
60,JELAPANG LRT STATION,BP12,1.386703025013921,103.76450333815882
61,PETIR LRT STATION,BP7,1.3777503338172212,103.766668960223
62,TECK WHYE LRT STATION,BP4,1.3766846794439072,103.75371223219945
63,CHOA CHU KANG LRT STATION,BP1,1.3848363599658255,103.7445537312411
64,SOUTH VIEW LRT STATION,BP2,1.3802982872172822,103.74529180004231
65,LAYAR LRT STATION,SW6,1.392079838772599,103.88002960034964
66,KANGKAR LRT STATION,SE4,1.3839789018335389,103.90217398876578
67,MERIDIAN LRT STATION,PE2,1.3969120530632737,103.90895021696619
68,CHENG LIM LRT STATION,SW1,1.3962776313358083,103.89379718083607
69,PUNGGOL POINT LRT STATION,PW3,1.4168485204957673,103.90665079046617
70,SUMANG LRT STATION,PW6,1.4084524256476956,103.89855845404989
71,FERNVALE LRT STATION,SW5,1.3918858877441018,103.87630861136844
72,TONGKANG LRT STATION,SW7,1.3893479529596946,103.88584414990768
73,PENDING LRT STATION,BP8,1.3761428827850484,103.77127017861224
74,TECK LEE LRT STATION,PW2,1.4127708938635475,103.90657762270189
75,BANGKIT LRT STATION,BP9,1.3800178972420922,103.77264907257116
76,BAKAU LRT STATION,SE3,1.3880927037751094,103.90543910424007
77,RUMBIA LRT STATION,SE2,1.391468496838555,103.90597359531087
78,COMPASSVALE LRT STATION,SE1,1.394493046198064,103.90049245062764
79,TEN MILE JUNCTION LRT STATION,BP14,1.3803210084931008,103.76013977735579
80,RANGGUNG LRT STATION,SE5,1.3842335606705822,103.89719466951276
81,PHOENIX LRT STATION,BP5,1.3786188444529006,103.75803409838647
82,SEGAR LRT STATION,BP11,1.3877721308608741,103.76959839678025
83,SENGKANG LRT STATION,STC,1.3916093638162654,103.89544258366438
84,BRAS BASAH MRT STATION,CC2,1.2968616865276132,103.8506673717781
85,MACPHERSON MRT STATION,CC10,1.3263453716612579,103.8902870313661
86,CITY HALL MRT STATION,EW13 / NS25,1.2929362428460929,103.85258589234415
87,TAMPINES EAST MRT STATION,DT33,1.3561914830370019,103.95463446292943
88,TAMPINES WEST MRT STATION,DT31,1.3455153053016902,103.93843697135333
89,GEYLANG BAHRU MRT STATION,DT24,1.321505838017605,103.8719006257064
90,BENDEMEER MRT STATION,DT23,1.313672232544496,103.8629779874744
91,BENCOOLEN MRT STATION,DT21,1.2988642704173592,103.85038425491643
92,HARBOURFRONT MRT STATION,NE1 / CC29,1.2654726398620961,103.82144306908805
93,PROMENADE MRT STATION,DT15,1.2928915520921733,103.86085298825671
94,BUGIS MRT STATION,DT14,1.2995507457093942,103.85686833309593
95,KENT RIDGE MRT STATION,CC24,1.2934626331445056,103.78463142679263
96,MACPHERSON MRT STATION,DT26,1.3260768829225416,103.88935059010879
97,PUNGGOL MRT STATION,NE17,1.4045467277879482,103.90207263840693
98,TANJONG PAGAR MRT STATION,EW15,1.27652124669304,103.84586422934721
99,ONE-NORTH MRT STATION,CC23,1.299759878591986,103.78745750783105
100,BISHAN MRT STATION,CC15,1.3513086801159004,103.84915441902204
101,STADIUM MRT STATION,CC6,1.302840629633224,103.8753503351786
102,BUGIS MRT STATION,EW12,1.3004650763152503,103.85570641401658
103,SOMERSET MRT STATION,NS23,1.3002600550654382,103.83907516234385
104,ORCHARD MRT STATION,NS22,1.303981012436877,103.83224145206746
105,JALAN BESAR MRT STATION,DT22,1.3054036422232524,103.85547701633922
106,BAYFRONT MRT STATION,DT16 / CE1,1.2818737884915374,103.8590797651323
107,SENGKANG MRT STATION,NE16,1.3916946260989878,103.8954846941603
108,BUKIT BROWN MRT STATION,CC18,1.3337288823214424,103.83068955013653
109,MOUNTBATTEN MRT STATION,CC7,1.3062019048312368,103.8825280808098
110,KOVAN MRT STATION,NE13,1.3601791711791507,103.88506485633619
111,FORT CANNING MRT STATION,DT20,1.2924789279174815,103.84432826960945
112,FARRER ROAD MRT STATION,CC20,1.3175106118957656,103.80758610574625
113,EXPO MRT STATION,DT35,1.3353821373335524,103.96237570744708
114,DOWNTOWN MRT STATION,DT17,1.2794461903787218,103.85284044403936
115,BUONA VISTA MRT STATION,CC22,1.3064916691077781,103.7906534100505
116,ESPLANADE MRT STATION,CC3,1.293321607611238,103.8555041055266
117,NICOLL HIGHWAY MRT STATION,CC5,1.2997668352679783,103.86363701849602
118,CALDECOTT MRT STATION,CC17,1.3376745080443389,103.83952982076379
119,MARINA BAY MRT STATION,NS27,1.2764273547506022,103.85459777754325
120,MARINA BAY MRT STATION,CE2,1.2761506366169861,103.85509398222194
121,LABRADOR PARK MRT STATION,CC27,1.2723327315964736,103.80293962041964
122,CHINATOWN MRT STATION,NE4,1.2843595782329786,103.84342677594374
123,CHINATOWN MRT STATION,DT19,1.2847489690614928,103.84445120071628
124,NEWTON MRT STATION,DT11,1.313607102193687,103.83781099412413
125,TAN KAH KEE MRT STATION,DT8,1.3258832089224448,103.80732220761213
126,TIONG BAHRU MRT STATION,EW17,1.2861933928589802,103.82701943092377
127,HILLVIEW MRT STATION,DT3,1.3623448685278607,103.76741825445647
128,KING ALBERT PARK MRT STATION,DT6,1.3356651207597654,103.78380665887346
129,MATTAR MRT STATION,DT25,1.3268767147126135,103.88324750917995
130,UBI MRT STATION,DT27,1.3299568257038417,103.8992525249772
131,BEAUTY WORLD MRT STATION,DT5,1.3412231757113502,103.77579428529484
132,KAKI BUKIT MRT STATION,DT28,1.3349673015642867,103.90845973446443
133,TAMPINES MRT STATION,DT32,1.3550774289959955,103.94306049746112
134,BEDOK NORTH MRT STATION,DT29,1.3347421167583993,103.91797832977343
135,DHOBY GHAUT MRT STATION,NS24,1.298701306629531,103.84611515467623
136,SERANGOON MRT STATION,CC13,1.3505952564433326,103.87236808950111
137,WOODLEIGH MRT STATION,NE11,1.3391900455251522,103.87081830937498
138,NOVENA MRT STATION,NS20,1.3204407908478992,103.84382561881533
139,SERANGOON MRT STATION,NE12,1.349707875379261,103.87357484685835
140,BEDOK RESERVOIR MRT STATION,DT30,1.3366078298104915,103.93223462362464
141,MARINA SOUTH PIER MRT STATION,NS28,1.2713367113291696,103.86285976963737
142,FARRER PARK MRT STATION,NE8,1.3123598402121364,103.8541771415314
143,PAYA LEBAR MRT STATION,CC9,1.3174302679767866,103.89217884546709
144,BARTLEY MRT STATION,CC12,1.342828337737579,103.87975890622788
145,DAKOTA MRT STATION,CC8,1.3083826392669968,103.88866260393172
146,PASIR PANJANG MRT STATION,CC26,1.2762135226853344,103.79135031315437
147,OUTRAM PARK MRT STATION,NE3,1.2797645431827183,103.83957474121854
148,CLARKE QUAY MRT STATION,NE5,1.2883860242011411,103.84655520929513
149,BISHAN MRT STATION,NS17,1.350838987693843,103.84814396447456
150,BOTANIC GARDENS MRT STATION,DT9,1.3224239786997305,103.81613165313686
151,MARYMOUNT MRT STATION,CC16,1.3487072630182249,103.83942313256962
152,HAW PAR VILLA MRT STATION,CC25,1.2825421566429007,103.78181045132038
153,LORONG CHUAN MRT STATION,CC14,1.35161217102563,103.86415193804721
154,LAVENDER MRT STATION,EW11,1.3073570200955626,103.86282920810665
155,DHOBY GHAUT MRT STATION,NE6,1.2997054585231433,103.84548818475173
156,DHOBY GHAUT MRT STATION,CC1,1.2988428164759411,103.84623911230787
157,TAI SENG MRT STATION,CC11,1.335433322222914,103.88819486115298
158,ROCHOR MRT STATION,DT13,1.3039164839645871,103.85242168070454
159,LITTLE INDIA MRT STATION,DT12,1.3071982229111048,103.8485846253815
160,LITTLE INDIA MRT STATION,NE7,1.3068000253123342,103.84964696657241
161,STEVENS MRT STATION,DT10,1.3200655570067297,103.82602440224379
162,BUKIT PANJANG MRT STATION,DT1,1.379002116717668,103.76153511473294
163,CASHEW MRT STATION,DT2,1.3693698310643436,103.76469442231075
164,SIXTH AVENUE MRT STATION,DT7,1.330786387363983,103.79724631666106
165,TOA PAYOH MRT STATION,NS19,1.3326289871232013,103.84750176434021
166,WOODLANDS SOUTH MRT STATION,TE3,1.4272599787112465,103.79385089243779
167,POTONG PASIR MRT STATION,NE10,1.3313795246192943,103.86905566527228
168,HOUGANG MRT STATION,NE14,1.3712922916785377,103.89238051891172
169,BOON KENG MRT STATION,NE9,1.3193957060230526,103.8616865018698
170,UPPER CHANGI MRT STATION,DT34,1.3417374838931968,103.96147178867841
171,CHANGI AIRPORT MRT STATION,CG2,1.357314545330978,103.98836465850532
172,WOODLANDS MRT STATION,TE2,1.436066981292875,103.78793080705822
173,BRADDELL MRT STATION,NS18,1.3404716844510993,103.84679784541233
174,BUANGKOK MRT STATION,NE15,1.3828778581472247,103.8931215647853
175,PROMENADE MRT STATION,CC4,1.293218051489327,103.86099915588701
176,BOTANIC GARDENS MRT STATION,CC19,1.3221101929847647,103.81498275034396
177,RAFFLES PLACE MRT STATION,EW14 / NS26,1.2841256105732044,103.85146171209111
178,HOLLAND VILLAGE MRT STATION,CC21,1.3118347904021326,103.79619182386152
179,OUTRAM PARK MRT STATION,EW16,1.2814049781301367,103.8391264975836
180,TELOK BLANGAH MRT STATION,CC28,1.270753211458579,103.80974863683566
181,TELOK AYER MRT STATION,DT18,1.2822895361922544,103.84830280619272
182,NEWTON MRT STATION,NS21,1.3123200995556397,103.83798529963273
183,CANBERRA MRT STATION,NS12,1.4431367000000288,103.82971179999974
184,WOODLANDS NORTH MRT STATION,TE1,1.4482925000000395,103.78569269999977
