,address,description,hawker_name,hawker_photo_url,hawker_gmaps_url,hawker_status,longitude,latitude,hawker_coords,q1_start,q1_end,q2_start,q2_end,q3_start,q3_end,q4_start,q4_end
0,"2, Adam Road, Singapore 289876","Built in 1974, Adam Food Centre comprises 32 cooked food stalls.  Although small in size, the hawker centre has a huge reputation.  Popular food offered in the centre includes BBQ Seafood, Nasi Lemak, Prawn Noodles etc.",Adam Road Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,https://www.google.com/maps/search/?api=1&query=Adam+Road+Food+Centre,Existing,103.8141632,1.324131966,"(1.324131966, 103.8141632)",8/3/2021,8/3/2021,7/6/2021,7/6/2021,6/9/2021,6/9/2021,6/12/2021,7/12/2021
1,"Blk 117, Aljunied Ave 2, Singapore 380117","Next to Geylang East Swimming Complex and other amenities, the hawker centre caters to the marketing and dining needs of the residents at Geylang East. The centre was built in 1978 and comprises 79 cooked food stalls and 82 market stalls.",Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,https://www.google.com/maps/search/?api=1&query=Aljunied+Ave+2+Blk+117+(Blk+117+Aljunied+Market+and+Food+Centre),Existing,103.8870926,1.320709944,"(1.320709944, 103.8870926)",15/3/2021,16/3/2021,21/6/2021,22/6/2021,13/9/2021,16/9/2021,13/12/2021,14/12/2021
2,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111","Built in 1983, the two-storey food centre is located within the central business district.  Housing many well-known stalls, the centre has evolved into a favourite lunch venue for executives working near Shenton Way. Be spoilt by the choice of hawker fare at affordable prices!",Amoy Street Food Centre (Telok Ayer Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,https://www.google.com/maps/search/?api=1&query=Amoy+Street+Food+Centre+(Telok+Ayer+Food+Centre),Existing,103.8469849,1.279129028,"(1.279129028, 103.8469849)",6/3/2021,6/3/2021,5/6/2021,5/6/2021,4/9/2021,4/9/2021,4/12/2021,4/12/2021
3,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226","Located next to a food centre, the hawker centre at Block 226D Ang Mo Kio Ave 1 serves the marketing and dining needs of residents living in the Kebun Baru area. The centre was upgraded in 2010 and consists predominantly of market stalls.",Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+1+Blk+226D+(Kebun+Baru+Market+and+Food+Centre),Existing,103.8391876,1.366950035,"(1.366950035, 103.8391876)",15/3/2021,17/3/2021,21/6/2021,21/6/2021,13/9/2021,13/9/2021,13/12/2021,13/12/2021
4,"Blk 29, Bendemeer Road, Singapore 330029","Just a few minutes away from Boon Keng MRT station, the hawker centre is very popular with the nearby residents as well as the workers at Kallang Bahru Industrial Estate because of its location and affordable local cuisines.",Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,https://www.google.com/maps/search/?api=1&query=Bendemeer+Road+Blk+29+(Bendemeer+Market+and+Food+Centre),Existing,103.8630905,1.319280028,"(1.319280028, 103.8630905)",1/3/2021,2/3/2021,17/5/2021,18/5/2021,16/8/2021,17/8/2021,15/11/2021,17/11/2021
5,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341","Located in the heart of Teck Ghee estate and opposite Bishan Park, the 32 cooked food stalls and 86 market stalls within the hawker centre remain a popular choice among patrons despite the availability of alternative marketing and dining facilities nearby.  Popular local dishes are whipped up daily to satisfy patrons' desires for good food!",Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+1+Blk+341+(Teck+Ghee+Court),Existing,103.84832,1.364169955,"(1.364169955, 103.84832)",1/2/2021,2/2/2021,3/5/2021,4/5/2021,16/8/2021,17/8/2021,8/11/2021,10/11/2021
6,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409","Also known as Teck Ghee Square, it is one of the three hawker centres that are situated along Ang Mo Kio Ave 10. Built in 1979, the hawker centre comprises 40 cooked food stalls and 148 market stalls.",Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+10+Blk+409+(Teck+Ghee+Square),Existing,103.8553772,1.362730026,"(1.362730026, 103.8553772)",15/3/2021,16/3/2021,5/7/2021,6/7/2021,13/9/2021,14/9/2021,13/12/2021,15/12/2021
7,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453","Built in 1979, the hawker centre at Blk 453A Ang Mo Kio Ave 10 consists of 38 cooked food stalls and 184 market stalls.",Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+10+Blk+453A+(Chong+Boon+Market+and+Food+Centre),Existing,103.8564377,1.368299961,"(1.368299961, 103.8564377)",22/2/2021,23/2/2021,17/5/2021,18/5/2021,30/8/2021,31/8/2021,22/11/2021,24/11/2021
8,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527","Commonly known as Cheng San Market and Cooked Food Centre, Blk 527 Ang Mo Kio Ave 10 is one of the three hawker centres located along Ang Mo Kio Ave 10. The hawker centre was built in 1979 to serve the dining and marketing needs of nearby residents. Upgraded in 2004, it houses 50 cooked food stalls and 100 market stalls.",Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+10+Blk+527+(Cheng+San+Market+and+Cooked+Food+Centre),Existing,103.8544464,1.37270999,"(1.37270999, 103.8544464)",22/3/2021,23/3/2021,28/6/2021,29/6/2021,27/9/2021,28/9/2021,6/12/2021,8/12/2021
9,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162","Commonly known as Mayflower Market, the hawker centre was built in 1981. It comprises 40 cooked food stalls and 84 market stalls to serve the marketing and dining needs of residents.",Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+4+Blk+160/162+(Mayflower+Market),Existing,103.839241,1.374600053,"(1.374600053, 103.839241)",8/3/2021,8/3/2021,7/6/2021,7/6/2021,27/9/2021,27/9/2021,20/12/2021,22/12/2021
